id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
english/sherburn/Z200485116,18,14,20
english/keatsjoh/Z200408078,13,7,14
english/embunyan/Z200350051,12,12,16
english/barlowge/Z400269750,14,9,14
english/ellisonh/Z300347436,13,11,14
american/am0291/Z500154491,14,13,14
english/yearsley/Z200545300,13,12,16
english/roberts2/Z300475051,11,6,14
english/bartonbe/Z300273863,14,12,14
english-ed2/ep2258/Z200631696,17,8,18
c20-english/ep17001/Z300302955,11,5,18
english/jordanth/Z200406401,15,10,18
english/dowsoner/Z300341652,17,17,20
english/lovelace/Z300417852,17,17,18
english/bartonbe/Z200274178,11,7,14
english/arwakere/Z200264216,9,4,14
english/cottonch/Z200321717,16,11,20
english/relphjos/Z200473243,10,10,14
english/wolcotjo/Z300541567,10,10,14
english/milnesri/Z300437441,12,12,14
english/sblawes/Z300491738,20,18,20
american/am1302/Z200198331,14,8,16
english/devereau/Z300337914,12,11,14
english/clarejoh/Z400314239,13,10,14
american/am1346/Z300201765,13,12,14
english/wiltonri/Z300539110,12,12,14
english/lluelynm/Z200417167,16,11,18
english/pagettho/Z300455031,10,8,14
c20-english/ep20004/Z300593452,12,6,20
american/am0092/Z200146077,12,12,14
english/wattsisa/Z300523073,11,4,16
c20-american/am20025/Z300545880,7,0,16
english/brownieb/Z300288985,12,12,14
c20-american/am23007/Z300250616,4,0,13
english/cokaynes/Z400316118,10,8,14
english/darleyge/Z300332575,10,10,14
english-ed2/ep2625/Z200676854,13,6,16
modern/car2501/Z400551892,15,4,20
english/cobbsamu/Z200315842,8,6,13
c20-english/ep58001/Z300607570,3,0,19
c20-english/fa0201/Z300608492,11,6,15
english/habingto/Z300383812,14,11,14
english/hemansfe/Z300391859,14,11,14
english/wesleych/Z500530815,13,9,18
english/caryhenr/Z300309368,10,9,14
c20-african-american/da22007/Z400570987,10,0,18
english/clarejoh/Z300313725,14,12,14
american/am0093/Z200146197,20,18,20
english/devereau/Z400337997,14,13,14
english/sewardan/Z300482226,13,12,14
english/boothbar/Z200284279,14,6,18
english/moultrie/Z400447872,11,10,14
american/am0338/Z200156384,14,10,14
american/am0999/Z200181391,16,12,19
english/smithcha/Z300489007,10,9,14
english/kingwil2/Z300410660,20,15,20
english/whitehen/Z400535023,11,6,13
faber/fa20202/Z300564183,9,4,20
english/wordswwi/Z300543705,13,11,14
english/monckmar/Z300442991,9,6,14
english/swaincha/Z300501822,12,10,16
english/mantrich/Z300425142,12,9,14
english-ed2/ep2375/Z300657624,14,9,14
english/thurlowe/Z300510515,11,7,14
english-ed2/ep2515/Z300668052,16,10,20
modern/car1702/Z200296513,20,18,20
c20-english/ep20015/Z200594499,10,0,18
american/am1327/Z200199448,11,8,14
c20-english/car1702/Z200296560,12,12,14
english/tupperma/Z200513696,11,5,14
c20-american/am22020/Z200229960,12,0,37
faber/fa0601/Z200557659,11,2,16
english/perronet/Z200460624,17,14,20
english/bartonbe/Z300273860,14,13,14
english/ayresphi/Z300265657,14,10,16
english/wesleych/Z500529464,14,14,18
english/clarejoh/Z300312891,13,6,16
english/radclif1/Z400469763,15,6,20
american/am0999/Z200181395,17,10,18
c20-english/ep30092/Z400604434,6,0,14
c20-american/am23033/Z300254327,9,2,16
english/sblawes/Z300491563,15,11,16
c20-african-american/da20086/Z300330754,9,0,14
english/haringt3/Z200387419,19,10,20
c20-english/car1702/Z300296562,12,8,14
english/sbgamble/Z200491041,9,5,16
english/ingramjo/Z200403382,11,9,14
c20-english/car1702/Z200296527,16,8,16
c20-american/am20071/Z300214354,17,12,20
english/cantep/Z200548475,16,8,16
english/mantrich/Z200425087,12,12,14
english-ed2/ep2565/Z200672975,14,10,16
english/rawnsley/Z300472913,13,10,14
american/am1120/Z200190671,13,13,14
english-ed2/holmesed/Z200679591,18,18,18
english/rawnsley/Z300472873,12,12,14
american/am1208/Z200193192,8,0,14
english/bickerst/Z200278440,20,14,20
english-ed2/ep2218/Z400651193,10,8,14
english/keatsjoh/Z200408032,13,8,14
modern/car4201/Z300554309,11,6,18
c20-american/am30167/Z300453979,7,0,14
english/wattsisa/Z300522557,15,8,16
c20-english/ep20160/Z300601655,13,0,17
american/am1233/Z300193863,8,4,16
c20-american/am23072/Z300305262,10,8,13
english/washbour/Z200521611,16,6,18
c20-english/car3401/Z300135386,6,4,14
english/sedleysi/Z400481814,12,4,14
american/am0172/Z200149404,15,9,16
faber/fa20502/Z200564859,9,2,20
english/cowperwi/Z400323400,14,11,14
english/hawkshaw/Z200388960,17,14,18
c20-american/am22114/Z300242129,9,0,14
english/stuarthy/Z200500919,13,10,14
english/sbtomkin/Z300493092,10,6,14
english/calverle/Z200295017,12,12,14
english/tickellt/Z200510973,16,8,16
english-ed2/watsonsi/Z300681503,12,11,14
english/loversam/Z300418162,14,10,16
c20-english/ep17001/Z300303190,10,4,15
c20-english/ep20010/Z300568072,11,0,20
english/mastersm/Z200427237,16,16,18
c20-english/ep30107/Z300605289,10,0,17
english/priormat/Z200466004,16,12,20
english-ed2/clarejoh/Z300314600,13,9,18
english/wesleych/Z300525446,13,8,16
english/keachben/Z200407647,10,10,20
english-ed2/ep2361/Z200655886,14,12,18
english/sigerso2/Z200577441,7,5,16
english/wattsisa/Z300523100,19,10,20
c20-american/am23108/Z300136584,10,0,18
english/barlowge/Z400269738,12,11,14
english/frerejoh/Z300376763,12,5,15
modern/car1702/Z200296575,10,8,14
english/kingwil2/Z300410661,12,8,14
c20-english/ep20128/Z200582715,10,0,17
english/clarejoh/Z300313433,14,12,14
english-ed2/ep2418/Z300660540,14,14,16
english/lluelynm/Z200417155,16,11,18
english-ed2/ep2117/Z300627501,17,12,20
american/am0643/Z300168187,15,14,15
american/am1327/Z200199588,11,8,14
english/rossetdg/Z200478152,13,9,14
c20-english/car1702/Z200296513,20,18,20
faber/fa1601/Z400562148,8,0,16
american/am0751/Z200172205,16,14,20
english/sheffiel/Z300483844,14,10,16
english/jacobhil/Z200403955,18,15,20
c20-american/am22172/Z300246908,8,0,16
english/monckmar/Z300442993,13,9,20
english/dyergeor/Z200344340,14,10,16
english/gayjohn/Z300378546,14,8,16
c20-american/am30062/Z400362894,12,0,15
c20-american/am20019/Z200205210,6,0,13
c20-american/am23019/Z300251725,12,0,16
english/haymanro/Z200389396,8,6,14
english/billings/Z200279207,10,7,14
english/oldmixon/Z200452405,14,8,14
american/am0338/Z200156303,16,12,16
english/ramsayal/Z200470955,17,8,20
english/wesleych/Z500530465,12,9,16
english/stockdal/Z300498111,16,14,16
english/barlowge/Z300271729,12,10,14
c20-american/am22090/Z400235935,2,2,14
english/cavenmar/Z200309891,17,10,18
c20-english/ep20160/Z300601624,2,2,18
english-ed2/watsonsi/Z300681484,13,8,14
english/lluelynm/Z200417173,15,10,18
english/montagul/Z300443129,11,8,17
american/am1160/Z200191718,13,7,16
c20-english/ep20160/Z300601442,12,2,20
c20-english/oxf0701/Z300586752,16,0,20
english/clarejoh/Z300313726,14,10,14
english/perronet/Z200460414,11,9,14
american/am0100/Z300146634,16,9,16
english/hopperno/Z200399605,12,8,15
english/sblawes/Z300491607,10,9,14
